transportar,tr. Llevar a alguien o algo de un lugar a otro
trasplantar,tr. Trasladar plantas del sitio en que están arraigadas y plantarlas en otro
trastornar,tr. Invertir el orden regular de algo
trayectoria,f. Línea descrita en el plano o en el espacio por un cuerpo en movimiento
ultraderecha,f. Derecha política de ideología extremista
ultraizquierda,f. Izquierda política de ideología extremista
ultrasensible,adj. Dotado de una sensibilidad superior a la normal
ultrasonido,m. Sonido cuya frecuencia de vibraciones es superior al límite perceptible por el oído humano Tiene muchas aplicaciones industriales y se emplea en medicina
ultratumba,f. Ámbito más allá de la muerte
ultravioleta,adj. Fís. Dicho de una radiación Que se encuentra entre el extremo violeta del espectro visible y los rayos X y provoca reacciones químicas de gran repercusión biológica U. t. c. s. m.
unicelular,adj. Que consta de una sola célula
unidimensional,adj. De una sola dimensión
unidireccional,adj. De una sola dirección
unificación,f. Acción y efecto de unificar
unilateral,adj. Que se refiere o se circunscribe solamente a una parte o a un aspecto de algo
unipartidismo,m. Sistema político basado en la existencia legal y el gobierno de un solo partido
unipersonal,adj. Que consta de una sola persona
universidad,f. Institución de enseñanza superior que comprende diversas facultades y que confiere los grados académicos correspondientes Según las épocas y países puede comprender colegios institutos departamentos centros de investigación escuelas profesionales etc. Universidad de Salamanca
usufructuar,tr. Der. Tener o gozar el usufructo de una cosa
usurpación,f. Acción y efecto de usurpar
vacilación,f. Acción y efecto de vacilar
vecindario,m. Conjunto de los vecinos de un municipio o solo de una población o de parte de ella
violonchelo,m. Instrumento musical de cuerda tocado con arco más grande que la viola y más pequeño que el contrabajo y con un registro intermedio entre ambos El intérprete que está sentado lo coloca entre sus piernas para tocarlo
vislumbrar,tr. Ver un objeto tenue o confusamente por la distancia o falta de luz
vulnerable,adj. Que puede ser herido o recibir lesión física o moralmente
xerografía,f. Procedimiento electrostático que utilizando conjuntamente la fotoconductividad y la atracción eléctrica concentra polvo colorante en las zonas negras o grises de una imagen registrada por la cámara oscura en una placa especial La imagen con el polvo colorante adherido pasa a un papel donde se fija mediante la acción del calor o de ciertos vapores
xilofonista,m. y f. Persona que toca el xilófono
xilografía,f. Arte de grabar en madera
yacimiento,m. Sitio donde se halla naturalmente una roca un mineral o un fósil
yuxtaponer,tr. Poner algo junto a otra cosa o inmediata a ella U. t. c. prnl.
